AudioID,ecstacy,joy,serenity,love,admiration,trust,acceptance,submission,terror,fear,apprehension,awe,amazement,surprise,distraction,disapproval,grief,sadness,pensiveness,remorse,loathing,disgust,boredom,contempt,rage,anger,annoyance,aggresiveness,vigilance,anticipation,interest,optimism,speaker ID,gender,age,ageClass,mbtiSingle,mbtiDouble,lang
19,0,0,0.363636364,0,0.045454545,0.045454545,0,0,0.045454545,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.136363636,0.045454545,speaker5,female,22岁,Youth,e,es,me
20,0.038461538,0,0.192307692,0.038461538,0,0,0,0,0.038461538,0,0.076923077,0,0,0,0.038461538,0.076923077,0,0,0,0,0,0,0.115384615,0,0,0,0.076923077,0.038461538,0.038461538,0,0.230769231,0,speaker5,female,22岁,Youth,e,es,ce
21,0.037037037,0.074074074,0.148148148,0,0,0.111111111,0.222222222,0.037037037,0,0,0.037037037,0.037037037,0,0,0,0.037037037,0,0,0,0,0,0,0.037037037,0.037037037,0,0,0.037037037,0,0,0,0.111111111,0.037037037,speaker5,female,22岁,Youth,e,es,ce
22,0,0,0.222222222,0,0,0.037037037,0.074074074,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0.037037037,0.074074074,0.037037037,0,0.259259259,0.111111111,0.037037037,speaker5,female,22岁,Youth,e,es,ce
23,0.045454545,0,0.136363636,0,0,0.227272727,0.227272727,0.045454545,0,0,0,0,0,0.045454545,0.045454545,0,0.045454545,0,0,0,0,0,0,0,0,0,0.045454545,0.045454545,0.090909091,0,0,0,speaker5,female,22岁,Youth,e,es,ce
24,0,0.090909091,0.272727273,0,0,0.136363636,0.090909091,0.045454545,0,0,0,0.045454545,0,0,0.045454545,0,0,0,0,0,0,0,0,0.045454545,0,0,0.090909091,0.090909091,0,0.045454545,0,0,speaker5,female,22岁,Youth,e,es,ce
25,0.04,0,0.04,0,0,0.08,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.04,0,0.24,0.12,0,0.08,0.04,0.16,0.12,0,0,0,speaker5,female,22岁,Youth,e,es,me
26,0.038461538,0.115384615,0.153846154,0,0,0.038461538,0,0,0,0,0,0,0,0,0.038461538,0,0,0.076923077,0,0,0,0,0,0,0.076923077,0.192307692,0,0.115384615,0,0.076923077,0,0.076923077,speaker5,female,22岁,Youth,e,es,ce
27,0,0,0.526315789,0,0,0.052631579,0.052631579,0,0.052631579,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0,0.105263158,0.052631579,0,0,0,speaker5,female,22岁,Youth,e,es,ce
28,0,0.076923077,0.346153846,0,0,0.115384615,0.153846154,0.076923077,0,0,0,0,0,0,0.076923077,0.076923077,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,speaker5,female,22岁,Youth,e,es,ce
29,0,0.076923077,0.307692308,0.038461538,0.076923077,0.076923077,0.192307692,0.038461538,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0.038461538,0.038461538,speaker5,female,22岁,Youth,e,es,ce
30,0,0.034482759,0.379310345,0,0.034482759,0.206896552,0.068965517,0.068965517,0,0,0.034482759,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.034482759,0,0.068965517,speaker5,female,22岁,Youth,e,es,ce
31,0,0,0.379310345,0.034482759,0.034482759,0.068965517,0.24137931,0.034482759,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0.034482759,0,0,0,0,0.034482759,0,0,0.068965517,0,speaker5,female,22岁,Youth,e,es,ce
32,0,0.035714286,0.321428571,0.035714286,0,0.071428571,0.071428571,0.071428571,0,0,0,0,0.035714286,0,0.142857143,0,0,0,0,0,0,0,0.071428571,0.071428571,0,0,0,0,0.035714286,0.035714286,0,0,speaker5,female,22岁,Youth,e,es,ce
33,0,0.035714286,0.357142857,0,0.035714286,0.035714286,0.142857143,0,0,0,0,0,0,0.035714286,0.071428571,0.035714286,0.035714286,0,0,0.035714286,0,0,0.071428571,0,0,0,0.035714286,0,0.035714286,0,0.035714286,0,speaker5,female,22岁,Youth,e,es,ce
34,0,0.181818182,0.409090909,0,0,0.090909091,0.090909091,0,0,0,0,0,0,0,0.090909091,0,0,0,0.045454545,0,0,0,0.045454545,0,0,0,0,0,0.045454545,0,0,0,speaker5,female,22岁,Youth,e,es,ce
35,0,0.285714286,0.25,0.035714286,0,0,0.071428571,0,0,0,0,0,0.035714286,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857,0.142857143,0.035714286,speaker5,female,22岁,Youth,e,es,ce
36,0,0.12,0.4,0,0,0.04,0.16,0.04,0,0,0,0,0,0,0.04,0,0,0,0.04,0,0.04,0,0.04,0.04,0,0,0,0,0.04,0,0,0,speaker5,female,22岁,Youth,e,es,ce
37,0,0.238095238,0.285714286,0,0,0,0.095238095,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0,0.047619048,0.047619048,0,0,0.047619048,0,0,0,0,0,0.047619048,0.047619048,0.047619048,0,speaker5,female,22岁,Youth,e,es,ce
38,0,0.142857143,0.571428571,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0.047619048,0,0.047619048,0,0,0,speaker5,female,22岁,Youth,e,es,ce
39,0,0.185185185,0.185185185,0,0,0.111111111,0,0,0,0.037037037,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0.037037037,0.037037037,0,0,0,0,0.037037037,0.148148148,0.185185185,0,speaker5,female,22岁,Youth,e,es,ce
40,0,0.045454545,0.5,0,0,0,0.045454545,0,0.045454545,0.090909091,0.045454545,0.045454545,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0.045454545,0,0.045454545,0,0.045454545,speaker5,female,22岁,Youth,e,es,ce
41,0,0.05,0.45,0,0,0.15,0,0,0.05,0.05,0.05,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,speaker5,female,22岁,Youth,e,es,ce
42,0,0.043478261,0.47826087,0,0,0.086956522,0.086956522,0.043478261,0,0,0,0,0.043478261,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0.086956522,0.043478261,speaker5,female,22岁,Youth,e,es,ce
43,0,0,0.304347826,0,0,0.217391304,0.043478261,0.043478261,0,0,0,0,0,0,0.086956522,0.043478261,0,0,0.043478261,0.043478261,0,0,0.043478261,0,0,0,0,0,0.086956522,0,0.043478261,0,speaker5,female,22岁,Youth,e,es,ce
44,0,0.076923077,0.269230769,0.038461538,0,0.076923077,0.076923077,0.038461538,0,0,0.076923077,0,0.038461538,0,0,0,0.038461538,0.038461538,0,0,0,0,0,0,0,0,0,0.038461538,0.038461538,0.115384615,0,0.038461538,speaker5,female,22岁,Youth,e,es,ce
45,0.045454545,0.045454545,0.454545455,0,0,0.045454545,0.090909091,0,0,0,0.045454545,0,0,0,0,0,0,0,0.045454545,0,0,0,0.045454545,0,0,0,0,0,0.090909091,0.045454545,0.045454545,0,speaker5,female,22岁,Youth,e,es,ce
46,0,0.095238095,0.428571429,0.047619048,0,0,0.142857143,0,0,0,0.095238095,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0,speaker5,female,22岁,Youth,e,es,ce
47,0.041666667,0.041666667,0.375,0,0,0.041666667,0.166666667,0,0,0,0,0,0,0,0.041666667,0,0.041666667,0,0.041666667,0,0,0,0,0,0,0,0,0,0.041666667,0.041666667,0.125,0,speaker5,female,22岁,Youth,e,es,ce
48,0.037037037,0.074074074,0.074074074,0,0.037037037,0.074074074,0.111111111,0.074074074,0,0,0.148148148,0,0,0,0,0.037037037,0,0,0,0,0,0.037037037,0.074074074,0.037037037,0,0.037037037,0,0.037037037,0.074074074,0,0.037037037,0,speaker5,female,22岁,Youth,e,es,ce
49,0.04,0,0.28,0.04,0,0.08,0.08,0.08,0,0,0.04,0,0,0.04,0.08,0.04,0,0,0,0,0,0,0.04,0,0,0,0.04,0,0,0.04,0.08,0,speaker5,female,22岁,Youth,e,es,ce
50,0.038461538,0,0.192307692,0.038461538,0.038461538,0.038461538,0.192307692,0.076923077,0,0,0.076923077,0,0,0,0.115384615,0.038461538,0,0,0,0,0.038461538,0,0,0.038461538,0,0,0,0,0.038461538,0,0.038461538,0,speaker5,female,22岁,Youth,e,es,ce
51,0.04,0.04,0.16,0,0.04,0.04,0.12,0.08,0.04,0.04,0.04,0,0.04,0.12,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.08,0.04,speaker5,female,22岁,Youth,e,es,ce
52,0.038461538,0.076923077,0.192307692,0,0,0.076923077,0.192307692,0.076923077,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0.038461538,0.038461538,0.153846154,0.038461538,speaker5,female,22岁,Youth,e,es,ce
53,0,0.076923077,0.153846154,0,0,0.038461538,0.115384615,0.115384615,0.038461538,0,0.038461538,0.076923077,0,0.076923077,0.115384615,0.076923077,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0.038461538,0,0,speaker5,female,22岁,Youth,e,es,ce
54,0.035714286,0.107142857,0.214285714,0,0.071428571,0,0.107142857,0.071428571,0,0,0,0,0.035714286,0,0.035714286,0,0,0,0,0,0,0,0.035714286,0,0.035714286,0,0.035714286,0,0,0.142857143,0.071428571,0,speaker5,female,22岁,Youth,e,es,ce
55,0,0.148148148,0.222222222,0.037037037,0,0.111111111,0.111111111,0.111111111,0.037037037,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0.037037037,0.037037037,0.037037037,0.037037037,0,speaker5,female,22岁,Youth,e,es,ce
56,0.04,0.28,0.2,0.04,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.04,0.12,0.04,0.04,speaker5,female,22岁,Youth,e,es,ce
57,0.034482759,0.24137931,0.24137931,0.068965517,0.034482759,0,0,0,0,0,0,0.034482759,0,0,0.034482759,0.034482759,0,0,0,0,0,0,0.068965517,0,0,0,0.034482759,0,0,0.103448276,0.068965517,0,speaker5,female,22岁,Youth,e,es,ce
58,0.125,0.125,0.166666667,0,0,0.041666667,0,0,0,0,0,0.041666667,0,0,0.041666667,0.041666667,0,0.041666667,0,0,0,0,0.166666667,0,0,0.041666667,0.083333333,0.083333333,0,0,0,0,speaker5,female,22岁,Youth,e,es,ce
59,0.04,0.12,0.24,0,0,0,0.08,0.04,0,0,0,0.04,0,0,0,0.04,0,0,0.04,0,0,0.08,0,0,0.08,0.04,0.04,0.04,0.04,0,0.04,0,speaker5,female,22岁,Youth,e,es,ce
60,0.166666667,0.166666667,0.083333333,0,0,0.041666667,0.041666667,0,0,0,0.083333333,0.041666667,0,0,0,0,0,0,0.041666667,0,0.041666667,0,0.125,0.041666667,0,0,0,0,0.041666667,0,0.041666667,0.041666667,speaker5,female,22岁,Youth,e,es,ce
61,0,0.045454545,0.363636364,0,0,0,0.181818182,0,0,0,0,0,0,0.045454545,0.045454545,0,0.045454545,0.045454545,0,0,0,0,0,0.045454545,0,0.045454545,0.045454545,0,0,0.045454545,0.045454545,0,speaker5,female,22岁,Youth,e,es,ce
62,0.090909091,0.136363636,0.136363636,0,0,0,0,0.045454545,0,0.045454545,0,0,0,0,0,0,0,0.045454545,0.045454545,0,0.045454545,0,0.181818182,0,0,0.090909091,0,0.045454545,0,0,0.090909091,0,speaker5,female,22岁,Youth,e,es,ce
63,0,0.043478261,0.217391304,0,0,0.086956522,0.217391304,0.043478261,0,0,0,0,0,0,0.173913043,0,0.043478261,0,0,0,0,0,0.043478261,0,0.043478261,0.043478261,0,0,0,0,0,0.043478261,speaker5,female,22岁,Youth,e,es,ce
64,0,0.130434783,0.086956522,0,0,0,0.043478261,0,0,0,0,0,0.043478261,0.043478261,0.086956522,0.086956522,0,0,0,0,0.043478261,0.043478261,0.130434783,0,0.043478261,0.130434783,0.043478261,0.043478261,0,0,0,0,speaker5,female,22岁,Youth,e,es,ce
65,0,0.083333333,0.333333333,0,0,0.041666667,0,0,0,0.041666667,0,0,0,0.083333333,0.083333333,0,0,0,0,0,0.041666667,0.041666667,0,0,0,0,0,0.041666667,0.041666667,0.083333333,0.083333333,0,speaker5,female,22岁,Youth,e,es,ce
66,0,0.130434783,0.347826087,0,0,0,0.086956522,0,0.043478261,0,0,0,0,0.043478261,0.086956522,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0.086956522,0.086956522,0.043478261,speaker5,female,22岁,Youth,e,es,ce
67,0,0.178571429,0.214285714,0,0,0.071428571,0.142857143,0.071428571,0,0,0,0,0,0.035714286,0,0.035714286,0,0,0,0,0,0,0.035714286,0,0,0,0,0.035714286,0.035714286,0.035714286,0.071428571,0.035714286,speaker5,female,22岁,Youth,e,es,ce
68,0,0.083333333,0.333333333,0,0,0.041666667,0.125,0,0,0.041666667,0,0,0,0,0.041666667,0.041666667,0,0,0.083333333,0,0,0.041666667,0,0,0,0.041666667,0,0.041666667,0.041666667,0,0.041666667,0,speaker5,female,22岁,Youth,e,es,ce
69,0,0.08,0.36,0.04,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.04,0,0,0,0.04,0.04,0.04,0.12,0,speaker5,female,22岁,Youth,e,es,ce
70,0,0.136363636,0.409090909,0,0,0,0.045454545,0,0.045454545,0,0,0,0.045454545,0,0.045454545,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0.136363636,0.045454545,0.045454545,speaker5,female,22岁,Youth,e,es,ce
71,0,0,0.476190476,0,0,0.095238095,0,0,0.047619048,0.047619048,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0,0.047619048,0.047619048,0,0.047619048,0.047619048,speaker5,female,22岁,Youth,e,es,ce
72,0,0.263157895,0.473684211,0,0,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894737,0,speaker5,female,22岁,Youth,e,es,ce
73,0,0.2,0.44,0,0,0.04,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.04,0,0.04,0.08,0.04,0,speaker5,female,22岁,Youth,e,es,ce
74,0,0.1,0.35,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.05,0.05,0.05,0,0,0.05,0,0.05,0.1,0,0,0,0,speaker5,female,22岁,Youth,e,es,ce
75,0,0.136363636,0.409090909,0,0,0.090909091,0,0.045454545,0,0,0,0,0.045454545,0,0,0.045454545,0,0,0,0.045454545,0,0,0.045454545,0,0,0,0,0.045454545,0,0.045454545,0,0.045454545,speaker5,female,22岁,Youth,e,es,ce
76,0,0.095238095,0.428571429,0,0,0,0.047619048,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0.142857143,0,0,0.047619048,0,0.095238095,0,0,0,0.047619048,speaker5,female,22岁,Youth,e,es,ce
77,0.095238095,0.19047619,0.333333333,0,0,0,0.095238095,0,0,0,0,0,0,0.095238095,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,speaker5,female,22岁,Youth,e,es,ce
78,0.1,0.25,0.15,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0,0,0,0.05,0.1,0.05,0,0,0,0,0.05,0,0.1,0,speaker5,female,22岁,Youth,e,es,ce
79,0.173913043,0.217391304,0.130434783,0,0.043478261,0.043478261,0.043478261,0,0,0.043478261,0,0,0,0,0.086956522,0,0,0,0,0,0,0,0.043478261,0,0,0.043478261,0,0,0.043478261,0,0.043478261,0.043478261,speaker5,female,22岁,Youth,e,es,ce
80,0.086956522,0.130434783,0.304347826,0.043478261,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0.043478261,0.043478261,0.043478261,0.043478261,0,0,0,0,0,0,0.086956522,0.086956522,0.043478261,speaker5,female,22岁,Youth,e,es,ce
81,0.090909091,0.181818182,0.272727273,0.045454545,0,0.045454545,0.090909091,0,0,0,0,0,0,0.090909091,0,0,0,0,0.090909091,0,0,0,0.045454545,0,0,0,0,0.045454545,0,0,0,0,speaker5,female,22岁,Youth,e,es,ce
82,0,0.25,0.35,0,0,0,0.1,0,0,0,0.05,0,0,0,0.15,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,speaker5,female,22岁,Youth,e,es,ce
83,0,0.25,0.35,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.1,0.05,0,0,0,0,0,0,0.05,0,speaker5,female,22岁,Youth,e,es,ce
84,0,0.260869565,0.304347826,0,0,0,0.086956522,0,0,0.086956522,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0.043478261,0,0.086956522,0.043478261,0,0,speaker5,female,22岁,Youth,e,es,ce
85,0,0.238095238,0.333333333,0,0,0.095238095,0.095238095,0.047619048,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0.047619048,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,speaker5,female,22岁,Youth,e,es,ce
86,0,0.19047619,0.380952381,0.047619048,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0.047619048,0,0,0,0.047619048,0.095238095,0,speaker5,female,22岁,Youth,e,es,ce
87,0,0.217391304,0.304347826,0,0,0.043478261,0.130434783,0,0,0,0,0.043478261,0.043478261,0,0,0,0,0,0.043478261,0,0,0,0,0.043478261,0,0,0,0,0.043478261,0.043478261,0,0.043478261,speaker5,female,22岁,Youth,e,es,ce
88,0,0.047619048,0.285714286,0,0,0,0,0,0,0,0,0,0.095238095,0.333333333,0,0.047619048,0.047619048,0,0,0.047619048,0,0,0,0,0,0,0.095238095,0,0,0,0,0,speaker5,female,22岁,Youth,e,es,ce
89,0,0.125,0.208333333,0,0,0,0,0,0.041666667,0,0,0.041666667,0.166666667,0.166666667,0,0,0,0.041666667,0.041666667,0,0.083333333,0,0,0,0,0,0.041666667,0,0.041666667,0,0,0,speaker5,female,22岁,Youth,e,es,ce
90,0,0.045454545,0.318181818,0,0.090909091,0.136363636,0.136363636,0,0,0,0,0,0,0,0.045454545,0.045454545,0,0,0,0.045454545,0,0.045454545,0.045454545,0,0,0.045454545,0,0,0,0,0,0,speaker6,male,12岁,Non-Youth,e,en,me
91,0.136363636,0.181818182,0.227272727,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0.045454545,0,0.090909091,0.045454545,0,0,0,0.090909091,0,0.045454545,0,0,0.045454545,0,speaker6,male,12岁,Non-Youth,e,en,me
92,0.142857143,0.047619048,0.19047619,0,0,0,0.047619048,0.095238095,0,0,0.095238095,0,0,0,0,0,0,0.047619048,0,0,0,0.095238095,0.047619048,0,0,0,0.142857143,0,0,0,0.047619048,0,speaker6,male,12岁,Non-Youth,e,en,me
93,0.086956522,0,0.217391304,0.086956522,0,0,0.043478261,0.043478261,0,0,0,0,0,0.086956522,0,0,0,0.086956522,0,0,0,0.043478261,0.043478261,0,0,0.130434783,0,0,0.086956522,0,0.043478261,0,speaker6,male,12岁,Non-Youth,e,en,me
94,0.095238095,0.333333333,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0,0.047619048,0.095238095,0,0.047619048,0.095238095,0,0,0.095238095,0.047619048,0,0,0,0,0,speaker6,male,12岁,Non-Youth,e,en,me
95,0,0,0.380952381,0,0,0.095238095,0,0,0,0.095238095,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0.047619048,0,0.047619048,0,0.095238095,0,0.047619048,0.095238095,0,0,0,0,speaker6,male,12岁,Non-Youth,e,en,me
96,0,0.263157895,0.368421053,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0.157894737,0.105263158,0,0.052631579,0,0,0,0,0,0,0,speaker6,male,12岁,Non-Youth,e,en,me
97,0,0.173913043,0.130434783,0,0,0,0,0,0,0,0.043478261,0.086956522,0.086956522,0.086956522,0,0,0,0,0,0,0,0,0.086956522,0,0.086956522,0.086956522,0.043478261,0,0,0.086956522,0,0,speaker6,male,12岁,Non-Youth,e,en,me
98,0,0.363636364,0.227272727,0.045454545,0,0,0.045454545,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0.045454545,0,0.045454545,0,0,0,0,0.045454545,0.045454545,0.090909091,0,speaker6,male,12岁,Non-Youth,e,en,me
99,0,0.473684211,0.157894737,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0.105263158,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0.105263158,0,speaker6,male,12岁,Non-Youth,e,en,me
100,0,0.15,0.2,0,0,0.2,0.1,0,0.05,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,speaker6,male,12岁,Non-Youth,e,en,me
101,0,0.25,0.25,0,0,0.2,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.1,0,speaker6,male,12岁,Non-Youth,e,en,me
102,0,0.15,0.2,0,0,0.3,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0.15,0,0,0.05,0,0,0,0,speaker6,male,12岁,Non-Youth,e,en,me
103,0,0.142857143,0.142857143,0,0.095238095,0.095238095,0.19047619,0,0,0,0,0,0,0,0,0.095238095,0.047619048,0,0,0,0.047619048,0,0.047619048,0,0,0,0.047619048,0,0,0,0.047619048,0,speaker6,male,12岁,Non-Youth,e,en,me
104,0,0.095238095,0.047619048,0,0,0.142857143,0.142857143,0.047619048,0,0,0,0,0,0,0.047619048,0.095238095,0,0.095238095,0,0,0,0.095238095,0,0,0,0.047619048,0.095238095,0.047619048,0,0,0,0,speaker6,male,12岁,Non-Youth,e,en,me
105,0,0,0.095238095,0,0,0,0.285714286,0,0.047619048,0.095238095,0.047619048,0,0,0,0.095238095,0,0,0,0,0.095238095,0,0,0.095238095,0.047619048,0.095238095,0,0,0,0,0,0,0,speaker6,male,12岁,Non-Youth,e,en,me
106,0,0,0.038461538,0,0,0.115384615,0.192307692,0,0.076923077,0,0.076923077,0,0,0.115384615,0,0.038461538,0,0,0.038461538,0,0,0.038461538,0.076923077,0,0,0.076923077,0.038461538,0,0.038461538,0,0.038461538,0,speaker6,male,12岁,Non-Youth,e,en,me
